Well,Sample ID,CpG#-65 (cg25939861)
A1,D1a,82.28
B1,D1b,6.25
C1,D1e,61.61
D1,D2a,82.25
E1,D2b,5.19
F1,D2d,82.96
G1,D2e,67.48
H1,D3a,85.55
A2,D3b,6.75
B2,D3e,48.86
C2,D4a,84.88
D2,D4b,6.57
E2,D4d,89.8
F2,D4e,67.81
G2,D5a,84.79
H2,D5b,5.05
A3,D5d,91.46
B3,D5e,80.05
C3,D6a,82.87
D3,D6b,7.54
E3,D6d,89.14
F3,D6e,87.49
G3,D7a,83.63
H3,D7b,4.39
A4,D7d,91.22
B4,D7e,68.06
C4,D8b,4.2
D4,D8e,62.91
E4,D9a,83.74
F4,D9b,6.51
G4,D9d,90.16
H4,D9e,81.96
A5,D10a,79.57
B5,D10b,4.61
C5,D10e,69.95
D5,D11a,81.49
E5,D11b,4.55
F5,D11d,89.78
G5,D11e,70.2
H5,D12a,86.23
A6,D12b,5.23
B6,D12d,91.33
C6,D12e,69.5
D6,D8a,84.81
E6,D10c,85.38
F6,D7c,93.86
