Well,Sample ID,CpG#429 (cg10837404)
A1,D1a,24.45
B1,D1b,64.88
C1,D1e,92.95
D1,D2a,18.56
E1,D2b,75.72
F1,D2d,78.29
G1,D2e,86.75
H1,D3a,15.81
A2,D3b,72.33
B2,D3e,92.94
C2,D4a,20.4
D2,D4b,86.35
E2,D4d,94.8
F2,D4e,96.52
G2,D5a,25.55
H2,D5b,79.56
A3,D5d,95.7
B3,D5e,94.42
C3,D6a,21.27
D3,D6b,72.73
E3,D6d,95.64
F3,D6e,94.57
G3,D7a,17.85
H3,D7b,66.38
A4,D7d,96.32
B4,D7e,94.5
C4,D8b,85
D4,D8e,95.78
E4,D9a,22.63
F4,D9b,78.03
G4,D9d,89.34
H4,D9e,93.25
A5,D10a,20.04
B5,D10b,72.25
C5,D10e,95.14
D5,D11a,16.61
E5,D11b,51.96
F5,D11d,91.13
G5,D11e,95.39
H5,D12a,21.69
A6,D12b,78.19
B6,D12d,94.41
C6,D12e,92.94
D6,D8a,47.38
E6,D10c,94.27
F6,D7c,97.74
