Well,Sample ID,cg13995453
A1,D1a,73.13
B1,D1b,72.97
C1,D1e,4.36
D1,D2a,66.9
E1,D2b,56.28
F1,D2d,81.49
G1,D2e,10.78
H1,D3a,80.84
A2,D3b,68.14
B2,D3e,6.94
C2,D4a,60
D2,D4b,68.69
E2,D4d,80.99
F2,D4e,2.22
G2,D5a,71.33
H2,D5b,75.17
A3,D5d,76.08
B3,D5e,6.76
C3,D6a,63.9
D3,D6b,65.16
E3,D6d,74.08
F3,D6e,6.47
G3,D7a,65.19
H3,D7b,66.08
A4,D7d,74.38
B4,D7e,18.73
C4,D8b,66.34
D4,D8e,1.97
E4,D9a,65.08
G4,D9d,70.61
H4,D9e,2.14
A5,D10a,62.11
B5,D10b,73.47
C5,D10e,3.75
D5,D11a,67.48
E5,D11b,69.18
F5,D11d,73.45
G5,D11e,0
H5,D12a,68.67
A6,D12b,61.41
B6,D12d,81.75
C6,D12e,7.56
D6,D8a,77.6
E6,D10c,64.64
F6,D7c,88.18
