Well,Sample ID,cg21596498
A1,D1a,88.4
B1,D1b,91.8
C1,D1e,92
D1,D2a,89.5
E1,D2b,91.4
F1,D2d,26.9
G1,D2e,87.8
A2,D3b,91.6
B2,D3e,91.8
C2,D4a,91.3
D2,D4b,91.6
E2,D4d,13.8
F2,D4e,91.4
G2,D5a,88.5
H2,D5b,92.5
A3,D5d,5.2
B3,D5e,89.2
C3,D6a,92.3
D3,D6b,92.2
E3,D6d,10.7
F3,D6e,89.1
G3,D7a,91.7
H3,D7b,92.8
A4,D7d,4.8
B4,D7e,90.5
C4,D8b,92.5
D4,D8e,89.6
E4,D9a,89.9
F4,D9b,92
G4,D9d,7.3
H4,D9e,90.2
A5,D10a,91.4
B5,D10b,92.1
C5,D10e,89.5
D5,D11a,90.9
E5,D11b,91.8
F5,D11d,10
G5,D11e,91.8
H5,D12a,92.7
A6,D12b,91.7
B6,D12d,8.7
C6,D12e,91.8
D6,D8a,91.8
E6,D10c,93
F6,D7c,89.2
